date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:08	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
22:56:09	30625/30625	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2007:45:02%20GMT	https://preview.colorlib.com/theme/jackson/	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/index.html	(from )
22:56:10	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:10%20GMT	https://preview.colorlib.com/theme/jackson/favicon.ico	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/favicon.ico	(from https://preview.colorlib.com/theme/jackson/)
22:56:10	51871/51871	---M-Z	200	added ('OK')	text/css	etag:%22ca9f-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/animate.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/animate.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:11	1726/1726	---M-Z	200	added ('OK')	text/css	etag:%226be-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/icomoon.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/icomoon.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:11	34155/34155	---M-Z	200	added ('OK')	text/css	etag:%22856b-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/bootstrap.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/bootstrap.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:12	2975/2975	---M-Z	200	added ('OK')	text/css	etag:%22b9f-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/flexslider.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/flexslider.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:12	2259/2259	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2018%20May%202023%2017:26:13%20GMT	https://preview.colorlib.com/theme/jackson/fonts/flaticon/font/flaticon.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/fonts/flaticon/font/flaticon.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:13	3574/3574	---M-Z	200	added ('OK')	text/css	etag:%22df6-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/owl.carousel.min.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:14	2315/2315	---M-Z	200	added ('OK')	text/css	etag:%2290b-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/owl.theme.default.min.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/owl.theme.default.min.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:14	33386/33386	---M-Z	200	added ('OK')	text/css	etag:%22826a-5c1f9ce28d39c-gzip%22	https://preview.colorlib.com/theme/jackson/css/style.css	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/css/style.css	(from https://preview.colorlib.com/theme/jackson/)
22:56:15	15413/15413	---M-Z	200	added ('OK')	application/javascript	etag:%223c35-56b84beb5e4c0-gzip%22	https://preview.colorlib.com/theme/jackson/js/modernizr-2.6.2.min.js	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/js/modernizr-2.6.2.min.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:15	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Thu,%2018%20May%202023%2017:26:16%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/jackson/)
22:56:16	114961/114961	---M--	200	added ('OK')	image/jpeg	etag:%221c111-56b84bc350640%22	https://preview.colorlib.com/theme/jackson/images/about.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/about.jpg	(from https://preview.colorlib.com/theme/jackson/)
22:56:16	30625/30625	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20May%202018%2007:45:02%20GMT	https://preview.colorlib.com/theme/jackson/index.html	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/index-2.html	(from https://preview.colorlib.com/theme/jackson/)
22:56:17	43757/43757	---M--	200	added ('OK')	image/jpeg	etag:%22aaed-56b84bdc1c0c0%22	https://preview.colorlib.com/theme/jackson/images/img_bg_1.jpg	C:/My%20Web%20Sites/portfolio_designer/preview.colorlib.com/theme/jackson/images/img_bg_1.jpg	(from https://preview.colorlib.com/theme/jackson/)
